movieId,movieTitle,movieYear,movieURL,movieRank,critic_score,audience_score,average
ce19aaa7-faec-32a1-b4d0-619797225546,Open Your Eyes,1997,https://www.rottentomatoes.com/m/open_your_eyes_1999,41,87%,88%,0.875
c6c8a022-8f2f-371b-a244-912e4f023ce9,Close Encounters of the Third Kind,1977,https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind,114,90%,85%,0.875
3acb019b-93e3-3d18-9e9e-962252697219,Invasion of the Body Snatchers,1978,https://www.rottentomatoes.com/m/1010679-invasion_of_the_body_snatchers,50,93%,82%,0.875
2d1c0f73-9ff0-3c5a-98ce-88da8f8ff201,Looper,2012,https://www.rottentomatoes.com/m/looper,113,93%,82%,0.875
0ac76d77-1f07-3a1d-b784-14d416ba3d34,Gravity,2013,https://www.rottentomatoes.com/m/gravity_2013,110,96%,79%,0.875
3531a288-9eeb-3cbc-94e7-fa847d9acbac,Planet of the Apes,1968,https://www.rottentomatoes.com/m/1016397-planet_of_the_apes,95,86%,88%,0.87
344b1318-d47f-3b42-af6f-e4aaa181cce5,Source Code,2011,https://www.rottentomatoes.com/m/source_code,77,92%,82%,0.87
c53d6207-c3a5-3b3f-9c0f-4c7ebd0166b3,Serenity,2005,https://www.rottentomatoes.com/m/serenity,43,82%,91%,0.865
b2af9422-2f72-32ae-98be-4fb7b6087741,Paprika,2006,https://www.rottentomatoes.com/m/paprika,42,86%,87%,0.865
2990c5c5-5611-3706-a54c-0e6d10db4c71,Alphaville,1965,https://www.rottentomatoes.com/m/alphaville,89,92%,81%,0.865
962c3984-6926-3f2f-b42e-f80adb889195,The Abyss,1989,https://www.rottentomatoes.com/m/abyss,78,89%,83%,0.86
ec8862aa-cef2-3e4f-b6f7-1864fc3c69ff,District 9,2009,https://www.rottentomatoes.com/m/district_9,129,90%,82%,0.86
6eeeadff-c77d-3b35-aaa0-f0d59022b041,Rogue One: A Star Wars Story,2016,https://www.rottentomatoes.com/m/rogue_one_a_star_wars_story,25,84%,87%,0.855
7302db53-ce2c-393f-a2d9-6709740fcd08,Men in Black,1997,https://www.rottentomatoes.com/m/men_in_black,66,91%,80%,0.855
