,Longitude,Latitude,Company Name,Location,Detail,Status Rocket, Rocket,Status Mission,Year,Rocket
43,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-112,StatusRetired,450,Success,2002,450
44,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-111,StatusRetired,450,Success,2002,450
45,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-110,StatusRetired,450,Success,2002,450
46,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-109,StatusRetired,450,Success,2002,450
47,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-108,StatusRetired,450,Success,2001,450
48,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-105,StatusRetired,450,Success,2001,450
49,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-104,StatusRetired,450,Success,2001,450
50,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-100,StatusRetired,450,Success,2001,450
51,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-102,StatusRetired,450,Success,2001,450
52,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-98,StatusRetired,450,Success,2001,450
53,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-97,StatusRetired,450,Success,2000,450
54,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-92,StatusRetired,450,Success,2000,450
55,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-106,StatusRetired,450,Success,2000,450
56,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-101,StatusRetired,450,Success,2000,450
57,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-99,StatusRetired,450,Success,2000,450
58,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-103,StatusRetired,450,Success,1999,450
59,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-93,StatusRetired,450,Success,1999,450
60,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-96,StatusRetired,450,Success,1999,450
61,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-88,StatusRetired,450,Success,1998,450
62,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-95,StatusRetired,450,Success,1998,450
63,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-91,StatusRetired,450,Success,1998,450
64,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-90,StatusRetired,450,Success,1998,450
65,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-89,StatusRetired,450,Success,1998,450
66,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-87,StatusRetired,450,Success,1997,450
67,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-86,StatusRetired,450,Success,1997,450
68,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-85,StatusRetired,450,Success,1997,450
69,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-94,StatusRetired,450,Success,1997,450
70,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-84,StatusRetired,450,Success,1997,450
71,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-83,StatusRetired,450,Success,1997,450
72,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-82,StatusRetired,450,Success,1997,450
73,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-81,StatusRetired,450,Success,1997,450
74,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-80,StatusRetired,450,Success,1996,450
75,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-79,StatusRetired,450,Success,1996,450
76,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-78,StatusRetired,450,Success,1996,450
77,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-77,StatusRetired,450,Success,1996,450
78,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-76,StatusRetired,450,Success,1996,450
79,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-75,StatusRetired,450,Success,1996,450
80,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-72,StatusRetired,450,Success,1996,450
81,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-74,StatusRetired,450,Success,1995,450
82,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-73,StatusRetired,450,Success,1995,450
83,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-69,StatusRetired,450,Success,1995,450
84,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-70,StatusRetired,450,Success,1995,450
85,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-71,StatusRetired,450,Success,1995,450
86,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-67,StatusRetired,450,Success,1995,450
87,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-63,StatusRetired,450,Success,1995,450
88,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-66,StatusRetired,450,Success,1994,450
89,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-68,StatusRetired,450,Success,1994,450
90,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-64,StatusRetired,450,Success,1994,450
91,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-65,StatusRetired,450,Success,1994,450
92,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-59,StatusRetired,450,Success,1994,450
93,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-62,StatusRetired,450,Success,1994,450
94,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-60,StatusRetired,450,Success,1994,450
95,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-61,StatusRetired,450,Success,1993,450
96,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-58,StatusRetired,450,Success,1993,450
97,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-51,StatusRetired,450,Success,1993,450
98,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-57,StatusRetired,450,Success,1993,450
99,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-55,StatusRetired,450,Success,1993,450
100,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-56,StatusRetired,450,Success,1993,450
101,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-54,StatusRetired,450,Success,1993,450
102,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-53,StatusRetired,450,Success,1992,450
103,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-52,StatusRetired,450,Success,1992,450
104,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-47,StatusRetired,450,Success,1992,450
105,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-46,StatusRetired,450,Success,1992,450
106,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-50,StatusRetired,450,Success,1992,450
107,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Endeavour | STS-49,StatusRetired,450,Success,1992,450
108,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-45,StatusRetired,450,Success,1992,450
109,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-42,StatusRetired,450,Success,1992,450
110,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-44,StatusRetired,450,Success,1991,450
111,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-48,StatusRetired,450,Success,1991,450
112,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-43,StatusRetired,450,Success,1991,450
113,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-40,StatusRetired,450,Success,1991,450
114,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-39,StatusRetired,450,Success,1991,450
115,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-37,StatusRetired,450,Success,1991,450
